nit,nombre,desc_ciiu_division,desc_ciuu_grupo,desc_ciiuu_clase,subsec
890400372,RAFAEL DEL CASTILLO Y CIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
890300208,ARROCERA LA ESMERALDA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,ARROZ
860400008,MOLINO EL LOBO SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
860031606,DIANA CORPORACION SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
890205091,PRECOCIDOS DEL ORIENTE S A,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,ARROZ
800146425,ORGANIZACION SOLARTE Y CIA SCA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
891100445,ORF SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
890106814,GRANOS Y CEREALES DE COLOMBIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,ARROZ
811022981,SOBERANA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
891300382,HARINERA DEL VALLE SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,"ELABORACION DE PRODUCTOS DE MOLINERIA, ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON",ELABORACION DE PRODUCTOS DE MOLINERIA,MOLINERIA Y DERIVADOS
890301690,INGREDION COLOMBIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,NAN,ELABORACION DE ALMIDONES Y PRODUCTOS DERIVADOS DEL ALMIDON,MOLINERIA Y DERIVADOS
890801094,COOPERATIVA DE CAFICULTORES DE MANIZALES,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE CAFE,TRILLA DE CAFE,CACAO
860000996,RACAFE & CIA S C A,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE CAFE,TRILLA DE CAFE,CACAO
900298861,COMPANIA CAFETERA LA MESETA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE CAFE,TRILLA DE CAFE,CACAO
890301054,TORRECAFE AGUILA ROJA Y CIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE CAFE,"DESCAFEINADO, TOSTION Y MOLIENDA DEL CAFE",CACAO
860007538,FEDERACION NACIONAL DE CAFETEROS DE COLOMBIA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE CAFE,OTROS DERIVADOS DEL CAFE,CACAO
891300513,INGENIO PICHICHI SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
891900196,INGENIO CARMELITA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
890302594,MAYAGUEZ SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
891501133,INGENIO LA CABANA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
891300237,INGENIO DEL CAUCA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
891300238,INGENIO PROVIDENCIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
891401705,INGENIO RISARALDA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE AZUCAR Y PANELA,ELABORACION Y REFINACION DE AZUCAR,AZUCAR
830002366,BIMBO DE COLOMBIA S.A.,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE PANADERIA,MOLINERIA Y DERIVADOS
860000258,CIA MANUFACTURERA DE PAN COMAPAN SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE PANADERIA,MOLINERIA Y DERIVADOS
860003831,PRODUCTOS RAMO SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE PRODUCTOS DE PANADERIA,MOLINERIA Y DERIVADOS
890301884,COLOMBINA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,"ELABORACION DE CACAO, CHOCOLATE Y PRODUCTOS DE CONFITERIA",CONFITERIA
890800718,SUCESORES DE JOSE JESUS RESTREPO Y CIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,"ELABORACION DE CACAO, CHOCOLATE Y PRODUCTOS DE CONFITERIA",CACAO
800096040,COMESTIBLES ALDOR SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,"ELABORACION DE CACAO, CHOCOLATE Y PRODUCTOS DE CONFITERIA",CACAO
890805267,SUPER DE ALIMENTOS SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,"ELABORACION DE CACAO, CHOCOLATE Y PRODUCTOS DE CONFITERIA",CACAO
901564490,MOLINOS MODERNOS COLOMBIA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,MOLINERIA Y DERIVADOS
800221789,BRINSA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
890917465,GRIFFITH FOODS SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
830095169,DSM NUTRITIONAL PRODUCTS COLOMBIA S A,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
817000747,COMPANIA INTERNACIONAL DE ALIMENTOS SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
860020308,COMESTIBLES RICOS SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
860074450,QUALA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
890900535,KELLOGG DE COLOMBIA S.A.,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
860002130,NESTLE DE COLOMBIA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS,ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,CONSERVAS
800221724,PRODUCTORA DE INSUMOS AGROPECUARIOS SOMEX SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890922549,PREMEX SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890936071,AGROPECUARIA SAN FERNANDO SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890103400,ALIMENTOS CONCENTRADOS DEL CARIBE SA ACONDESA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890900291,SOLLA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890907163,COMPANIA INDUSTRIAL DE PRODUCTOS AGROPECUARIOS SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
800149149,ALIMENTOS BALANCEADOS TEQUENDAMA SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
800164767,GABRICA SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
860026895,ITALCOL SA,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890901271,PRODUCTORA DE ALIMENTOS CONCENTRADOS CONTEGRAL SAS,ELABORACION DE PRODUCTOS ALIMENTICIOS,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ELABORACION DE ALIMENTOS PREPARADOS PARA ANIMALES,ALIMENTOS CONCENTRADOS
890801167,INDUSTRIA LICORERA DE CALDAS,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS",BEBIDAS ALCOHOLICAS
899999084,EMPRESA DE LICORES DE CUNDINAMARCA,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"DESTILACION, RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS",BEBIDAS ALCOHOLICAS
860005224,BAVARIA & CIA S C A,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"PRODUCCION DE MALTA, ELABORACION DE CERVEZAS Y OTRAS BEBIDAS MALTEADAS",BEBIDAS ALCOHOLICAS
890903939,POSTOBON SA,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"ELABORACION DE BEBIDAS NO ALCOHOLICAS, PRODUCCION DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS",BEBIDAS NO ALCOHOLICAS
830081407,AJECOLOMBIA SA,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"ELABORACION DE BEBIDAS NO ALCOHOLICAS, PRODUCCION DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS",BEBIDAS NO ALCOHOLICAS
890903858,INDUSTRIA NACIONAL DE GASEOSAS SA,ELABORACION DE BEBIDAS,ELABORACION DE BEBIDAS,"ELABORACION DE BEBIDAS NO ALCOHOLICAS, PRODUCCION DE AGUAS MINERALES Y OTRAS AGUAS EMBOTELLADAS",BEBIDAS NO ALCOHOLICAS
890900043,COMPANIA COLOMBIANA DE TABACO SAS,ELABORACION DE PRODUCTOS DE TABACO,ELABORACION DE PRODUCTOS DE TABACO,ELABORACION DE PRODUCTOS DE TABACO,TABACO
900462511,BRITISH AMERICAN TOBACCO COLOMBIA SAS,ELABORACION DE PRODUCTOS DE TABACO,ELABORACION DE PRODUCTOS DE TABACO,ELABORACION DE PRODUCTOS DE TABACO,TABACO
860001965,TEXTILES LAFAYETTE SAS,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",PREPARACION E HILATURA DE FIBRAS TEXTILES,TEXTILES
890900265,COATS CADENA ANDINA SA,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",PREPARACION E HILATURA DE FIBRAS TEXTILES,TEXTILES
890900259,COLTEJER SA,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",TEJEDURIA DE PRODUCTOS TEXTILES,TEXTILES
890900308,FABRICATO SA,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",TEJEDURIA DE PRODUCTOS TEXTILES,TEXTILES
860001963,PROTELA SA,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",TEJEDURIA DE PRODUCTOS TEXTILES,TEXTILES
860000452,MANUFACTURAS ELIOT SAS,FABRICACION DE PRODUCTOS TEXTILES,"PREPARACION, HILATURA, TEJEDURIA Y ACABADO DE PRODUCTOS TEXTILES",TEJEDURIA DE PRODUCTOS TEXTILES,TEXTILES
890900285,COMPANIA DE EMPAQUES SA,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,"CONFECCION DE ARTICULOS CON MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR",TEXTILES
800186656,CI DISTRIHOGAR SAS,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,"CONFECCION DE ARTICULOS CON MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR",TEXTILES
830009573,COLOMBIANA DE NO TEJIDOS Y ACOLCHADOS SA,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,"CONFECCION DE ARTICULOS CON MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR",TEXTILES
890100783,INDUSTRIAS CANNON DE COLOMBIA SA CANNON,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,"CONFECCION DE ARTICULOS CON MATERIALES TEXTILES, EXCEPTO PRENDAS DE VESTIR",TEXTILES
815002042,PGI COLOMBIA LTDA,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,FABRICACION DE OTROS ARTICULOS TEXTILES N.C.P.,TEXTILES
860002067,PROQUINAL SAS,FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE OTROS PRODUCTOS TEXTILES,FABRICACION DE OTROS ARTICULOS TEXTILES N.C.P.,TEXTILES
805003626,STF GROUP SA,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
811017000,INTERNACIONAL DE DISTRIBUCIONES DE VESTUARIO,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
890924167,C I HERMECO SA,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
805022296,NCS S.A.S,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
860516806,PERMODA LTDA,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
800122420,CO Y TEX SAS,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
811044814,SOCIEDAD DE COMERCIALIZACION INTERNACIONAL GIRDLE,CONFECCION DE PRENDAS DE VESTIR,"CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL","CONFECCION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL",CONFECCIONES
