nombre_equipo,nit,news_id,participación,categoría,recomendación
Latino-Asian Brotherhood,800035776,news12859,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800037800,news44822,Sector,Reputación,1.0
Latino-Asian Brotherhood,800037800,news10775,Sector,Otra,2.0
Latino-Asian Brotherhood,800037800,news96856,Sector,Otra,3.0
Latino-Asian Brotherhood,800037800,news96851,Sector,Otra,4.0
Latino-Asian Brotherhood,800037800,news44827,Sector,Reputación,5.0
Latino-Asian Brotherhood,800037835,news98466,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800037835,news98516,No aplica,Reputación,2.0
Latino-Asian Brotherhood,800037835,news75338,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800037835,news47704,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800037835,news98463,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800042175,news17819,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800042175,news94756,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800042175,news97899,No aplica,Sostenibilidad,3.0
Latino-Asian Brotherhood,800042175,news97920,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800042175,news97902,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800042210,news96572,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800042210,news98521,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800042210,news98547,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800042210,news98524,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800042210,news29574,No aplica,Sostenibilidad,5.0
Latino-Asian Brotherhood,800042471,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800042471,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800042471,news98435,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800042471,news17539,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800042471,news12859,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800043910,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800043910,news26781,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800043910,news49545,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800043910,news98435,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800043910,news17539,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800044402,news76271,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800044402,news76245,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800044402,news76205,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800044402,news38104,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800044402,news81472,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800044807,news18687,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800044807,news97858,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800044807,news95228,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800044807,news95195,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800044807,news97841,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800046286,news20891,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800046286,news96105,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800046286,news72967,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800046286,news96093,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800046286,news25716,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800047031,news70551,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800047031,news70512,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800047031,news17397,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800047031,news70526,Sector,Otra,4.0
Latino-Asian Brotherhood,800047031,news70531,Sector,Otra,5.0
Latino-Asian Brotherhood,800047781,news98406,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800047781,news96165,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800047781,news96142,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800047781,news17812,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800047781,news24046,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800050749,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800050749,news26781,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800050749,news58586,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800050749,news58605,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800050749,news49545,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800051984,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800051984,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800051984,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800051984,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800051984,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800052534,news36967,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800052534,news25970,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800052534,news98453,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800052534,news49545,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800052534,news98435,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800053720,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800053720,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800053720,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800053720,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800053720,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800055116,news26781,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800055116,news98466,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800055116,news19886,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800055116,news98516,No aplica,Reputación,4.0
Latino-Asian Brotherhood,800055116,news75338,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800057310,news20720,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800057310,news98453,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800057310,news17458,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800057310,news49545,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800057310,news98435,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800057965,news45363,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800057965,news27553,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800057965,news20590,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800057965,news76428,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800057965,news98934,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800058016,news27657,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800058016,news27611,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800058016,news27616,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800058016,news27654,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800058016,news79063,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800058607,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800058607,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800058607,news98435,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800058607,news16697,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800058607,news16704,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800060067,news17955,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800060067,news96206,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800060067,news98425,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800060067,news96201,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800060067,news96221,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800065396,news13137,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800065396,news79818,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800065396,news79903,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800065396,news79790,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800065396,news51413,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800066123,news99257,No aplica,Macroeconomía,1.0
Latino-Asian Brotherhood,800066123,news99245,No aplica,Reputación,2.0
Latino-Asian Brotherhood,800066123,news98229,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800066123,news45363,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800066123,news99254,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800067065,news47568,Sector,Otra,1.0
Latino-Asian Brotherhood,800067065,news43635,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800067065,news38104,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800067065,news97310,No aplica,Reputación,4.0
Latino-Asian Brotherhood,800067065,news99425,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800071444,news31852,Sector,Otra,1.0
Latino-Asian Brotherhood,800071444,news45363,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800071444,news66660,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800071444,news26178,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800071444,news95815,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800072556,news57873,No aplica,Macroeconomía,1.0
Latino-Asian Brotherhood,800072556,news94275,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800072556,news94284,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800072556,news97626,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800072556,news35556,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800073419,news82237,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800073419,news14422,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800073419,news14464,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800073419,news42292,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800073419,news98020,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800080917,news30213,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800080917,news98005,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800080917,news14717,No aplica,Reputación,3.0
Latino-Asian Brotherhood,800080917,news98004,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800080917,news98000,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800082665,news38313,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800082665,news86642,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800082665,news86682,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800082665,news86781,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800082665,news86624,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800084048,news96595,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800084048,news59816,No aplica,Sostenibilidad,2.0
Latino-Asian Brotherhood,800084048,news59827,No aplica,Sostenibilidad,3.0
Latino-Asian Brotherhood,800084048,news42749,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800084048,news96597,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800084728,news17955,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800084728,news96206,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800084728,news98425,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800084728,news96201,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800084728,news96221,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800086042,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800086042,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800086042,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800086042,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800086042,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800087795,news18687,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800087795,news97858,No aplica,Macroeconomía,2.0
Latino-Asian Brotherhood,800087795,news95291,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800087795,news95292,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800087795,news95261,No aplica,Sostenibilidad,5.0
Latino-Asian Brotherhood,800091063,news10775,Sector,Otra,1.0
Latino-Asian Brotherhood,800091063,news96856,Sector,Otra,2.0
Latino-Asian Brotherhood,800091063,news96851,Sector,Otra,3.0
Latino-Asian Brotherhood,800091063,news96850,Cliente,Reputación,4.0
Latino-Asian Brotherhood,800091063,news44836,Sector,Reputación,5.0
Latino-Asian Brotherhood,800091140,news45363,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800091140,news85160,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800091140,news85245,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800091140,news95815,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800091140,news95834,No aplica,Macroeconomía,5.0
Latino-Asian Brotherhood,800091549,news98453,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800091549,news49545,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800091549,news98435,No aplica,Regulaciones,3.0
Latino-Asian Brotherhood,800091549,news17539,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800091549,news12859,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800093117,news23072,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800093117,news38090,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800093117,news96105,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800093117,news23057,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800093117,news38082,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800093320,news98406,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800093320,news96165,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800093320,news96142,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800093320,news17812,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800093320,news24046,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800094968,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800094968,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800094968,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800094968,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800094968,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800096036,news25273,Sector,Reputación,1.0
Latino-Asian Brotherhood,800096036,news10323,Sector,Otra,2.0
Latino-Asian Brotherhood,800096036,news33930,Sector,Reputación,3.0
Latino-Asian Brotherhood,800096036,news97158,Sector,Otra,4.0
Latino-Asian Brotherhood,800096036,news57045,Sector,Regulaciones,5.0
Latino-Asian Brotherhood,800096040,news57873,No aplica,Macroeconomía,1.0
Latino-Asian Brotherhood,800096040,news97626,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800096040,news97625,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800096040,news97634,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800096040,news15049,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800096329,news87925,Sector,Otra,1.0
Latino-Asian Brotherhood,800096329,news96925,Sector,Alianza,2.0
Latino-Asian Brotherhood,800096329,news86649,Sector,Otra,3.0
Latino-Asian Brotherhood,800096329,news17461,Sector,Otra,4.0
Latino-Asian Brotherhood,800096329,news96907,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800096890,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800096890,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800096890,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800096890,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800096890,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800100553,news56580,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800100553,news98453,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800100553,news49545,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800100553,news33238,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800100553,news98435,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800100610,news36967,No aplica,Reputación,1.0
Latino-Asian Brotherhood,800100610,news98453,No aplica,Regulaciones,2.0
Latino-Asian Brotherhood,800100610,news49545,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800100610,news98435,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800100610,news17539,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800103052,news45363,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800103052,news56365,Sector,Otra,2.0
Latino-Asian Brotherhood,800103052,news27791,No aplica,Sostenibilidad,3.0
Latino-Asian Brotherhood,800103052,news27553,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800103052,news56435,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800104242,news41505,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800104242,news25779,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800104242,news25760,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800104242,news99019,No aplica,Regulaciones,4.0
Latino-Asian Brotherhood,800104242,news99004,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800106774,news98466,No aplica,Regulaciones,1.0
Latino-Asian Brotherhood,800106774,news98516,No aplica,Reputación,2.0
Latino-Asian Brotherhood,800106774,news75338,No aplica,Macroeconomía,3.0
Latino-Asian Brotherhood,800106774,news47704,No aplica,Macroeconomía,4.0
Latino-Asian Brotherhood,800106774,news98463,No aplica,Regulaciones,5.0
Latino-Asian Brotherhood,800107494,news87925,Sector,Otra,1.0
Latino-Asian Brotherhood,800107494,news96925,Sector,Alianza,2.0
Latino-Asian Brotherhood,800107494,news86649,Sector,Otra,3.0
Latino-Asian Brotherhood,800107494,news17461,Sector,Otra,4.0
Latino-Asian Brotherhood,800107494,news96907,No aplica,Reputación,5.0
Latino-Asian Brotherhood,800109273,news96105,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800109273,news96093,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800109273,news98342,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800109273,news96128,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800109273,news96073,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800116217,news49344,No aplica,Descartable,1.0
Latino-Asian Brotherhood,800116217,news49232,No aplica,Descartable,2.0
Latino-Asian Brotherhood,800116217,news96734,No aplica,Descartable,3.0
Latino-Asian Brotherhood,800116217,news49240,No aplica,Descartable,4.0
Latino-Asian Brotherhood,800116217,news97275,No aplica,Descartable,5.0
Latino-Asian Brotherhood,800116398,news87925,Sector,Otra,1.0
Latino-Asian Brotherhood,800116398,news96925,Sector,Alianza,2.0
